name,dob,gender,email,phone,address,pan,aadhaar,loan_type,loan_amount,income,credit_score,debt_to_income_ratio,loan_purpose,application_channel,repayment_status,loan_approval_status,ip_address,device_id,user_agent,city,state,geo_lat,geo_long,form_fill_time_seconds,login_time_hour,failed_otp_count,num_txn_last_30d,shared_phone_count,shared_device_count,shared_ip_count,email_domain_count,aadhaar_verified,pan_verified,phone_verified,doc_match_score,is_fraud
Isaac Choudhary,1975-07-04,Female,odikadani@example.com,9557411972,"78/281, Hayre Circle, Akola-578777",ATQQF23516,157001892787,Personal,376045,189439,795.0,1.99,Medical,Online,On-time,Approved,193.245.130.241,f2c4d515-4e61-4ff8-856f-05a96ad7fb63,Chrome,Uluberia,Tamil Nadu,30.9986,82.890897,68,15,0,32,1,1,1,1,True,True,True,0.63,0
Januja Narasimhan,1988-05-20,Male,vbera@example.com,0060305027,"53/84, Dugal Path, Chapra-431536",BICFI95737,231241310320,Personal,911515,1382292,504.0,0.66,Marriage,Agent,Delayed,Approved,197.35.240.213,1a78f5da-3c53-40e2-b2da-f4775c6f354f,Chrome,Cuttack,Uttar Pradesh,12.221152,89.639742,292,18,2,45,1,1,1,3,True,True,True,0.94,0
Jason Modi,1998-04-06,Other,vinayashankar@example.net,0655688939,"H.No. 05, Jani Road, Kollam 784370",CKZPK28944,693069340898,Home,2167742,1345870,369.0,1.61,Renovation,Agent,On-time,Approved,221.77.66.222,9da13a9a-451d-49dc-9891-f215645a25ed,Firefox,Korba,Jharkhand,35.96365,72.98143,558,0,5,12,1,1,1,4,True,True,True,0.97,0
Samesh Char,1968-03-25,Female,umang68@example.net,9165330068,"55, Minhas Road, Rewa-945514",RXLBK56067,656660985863,Auto,826473,1072046,409.0,0.77,Marriage,Branch,Delayed,Rejected,204.220.226.143,565ea522-85df-4e00-a4ae-3c9dc9811f3f,Firefox,Muzaffarnagar,Kerala,22.913279,79.819761,329,3,3,14,1,1,1,9,True,True,True,0.65,0
Anita Bahri,1991-07-26,Other,dganesh@example.net,3941195684,"H.No. 55, Ganesan Nagar, Moradabad 910238",RXMPH28170,154442107736,Auto,2386781,1664430,341.0,1.43,Renovation,Branch,Delayed,Approved,215.192.63.202,81a935cc-86c2-49dd-85c0-c18d156dfacc,Safari,Asansol,Chhattisgarh,16.224732,85.411296,327,21,3,28,1,1,1,9,True,True,True,0.76,0
Advika Kata,1999-04-23,Female,isabharwal@example.org,4082069803,"63/991, Vig Circle, Gorakhpur-411265",TVCMR87939,551728127600,Home,341961,1913827,787.0,0.18,Business,Branch,On-time,Approved,156.251.2.52,eacf18c7-d5f2-4486-8ba9-34ee9b4b9303,Safari,Khammam,Karnataka,27.490769,79.494723,543,21,5,10,1,1,1,2,True,True,True,0.66,0
Mitesh Gour,1982-04-20,Other,owen62@example.com,7438863478,"H.No. 597, Kota Zila, Bally-167221",ZQUAW70824,731419803933,Personal,757676,285707,672.0,2.65,Marriage,Branch,On-time,Rejected,109.3.200.75,b84050ff-2a1e-4b6d-b24b-6d5ec8094510,Chrome,Pudukkottai,Punjab,14.75322,80.316422,519,8,5,98,1,1,1,10,True,True,True,0.84,0
Gayathri Dhar,2003-05-27,Other,vedhika59@example.net,7540441183,"27, Bajwa Zila, Tinsukia-765579",DRDCO73056,448855454695,Education,1543580,1147880,714.0,1.34,Medical,Agent,Delayed,Approved,197.86.188.0,0080c251-02c1-4d58-bd88-33898760e604,Safari,Mumbai,Gujarat,11.133063,75.270006,517,7,5,17,1,1,1,1,True,True,True,0.64,0
Yatan Sem,2006-12-17,Male,karnikdaksha@example.com,1371685275,"21/34, Sandal Road, Alappuzha 118026",ACZZU54430,506622228548,Education,162192,525590,397.0,0.31,Marriage,Branch,Defaulted,Approved,222.51.99.246,f761f723-0b7d-4c06-80cb-a2ded79096a8,Chrome,Visakhapatnam,Kerala,27.171338,83.078518,36,14,1,37,3,4,4,9,False,False,True,0.43,1
Ayush Butala,1994-12-01,Male,amairakanda@example.com,9120107597,"38, Gera Zila, Panvel-245469",CJBZE15095,519054206114,Education,549684,954530,760.0,0.58,Travel,Branch,Delayed,Rejected,97.110.185.247,2905369d-775b-4765-ae59-6e2fafd974fc,Chrome,Serampore,Tripura,8.952934,84.14333,318,22,1,62,1,1,1,7,True,True,True,0.65,0
Logan Bakshi,1978-05-15,Female,isha98@example.com,0639517797,"H.No. 65, Ben Ganj, Ghaziabad-024942",AUCRE84714,911413506815,Personal,2435951,1565629,802.0,1.56,Business,Agent,Defaulted,Rejected,107.96.40.145,05ea646c-5b72-4ab0-a77f-31c751a973c8,Safari,Mangalore,West Bengal,24.305407,72.533018,65,12,2,63,1,1,1,10,True,True,True,0.99,0
Wazir Kakar,1969-08-28,Female,samaksh77@example.com,3805531782,"853, Singhal Chowk, Bijapur-483388",IRKGT54028,933392029961,Auto,1394202,278815,328.0,5.0,Investment,Online,On-time,Rejected,200.2.35.237,4e08a8d6-24ea-483c-84c3-c845ba30b661,Edge,Nandyal,Madhya Pradesh,31.477049,84.935042,357,12,0,54,1,1,1,6,True,True,True,1.0,0
Saumya Palan,1973-01-22,Male,arya75@example.com,1091269042,"H.No. 893, Grewal Road, Shimoga 161264",YYNMQ06591,370227394203,Home,1088568,642038,619.0,1.7,Investment,Online,Defaulted,Approved,15.148.36.123,098946e6-b39e-4191-b64a-5aa9be70eb6c,Edge,Khora ,Uttarakhand,11.319668,72.923598,559,10,0,58,1,1,1,7,True,True,True,0.83,0
Avni Parsa,1980-05-27,Female,mchand@example.org,4399186337,"H.No. 729, Sama, Ramagundam-621159",PCMEJ83121,274358068640,Personal,2020064,1383102,322.0,1.46,Travel,Branch,Defaulted,Rejected,221.5.48.79,b5f3a529-6da5-4dc0-8749-d21a1e822e23,Edge,Jaunpur,Mizoram,24.603621,91.44147,110,22,5,26,1,1,1,6,True,True,True,0.8,0
Balhaar Goda,1961-11-07,Other,devika30@example.com,0913991198,"16/236, Arora Nagar, Kollam 503998",IDWCO85859,619106435371,Auto,748885,1439387,606.0,0.52,Travel,Branch,On-time,Rejected,180.8.168.7,cfaf438e-19fb-41ed-ab97-7bf5466d70f5,Chrome,Hajipur,Uttar Pradesh,32.371034,83.539187,302,8,0,38,1,1,1,10,True,True,True,0.76,0
Ekantika Golla,1982-08-21,Other,falguninarayanan@example.com,9353495464,"23, Tank Road, Raurkela Industrial Township 029824",IJNZG32999,955849549086,Personal,2475118,348670,644.0,7.1,Travel,Online,Defaulted,Rejected,210.41.103.9,d0691186-321f-4457-b41a-83412b05bf39,Safari,Belgaum,Odisha,14.082436,91.073901,317,16,2,55,1,1,1,9,True,True,True,0.73,0
Vivaan Ramaswamy,1991-05-28,Female,agatechristopher@example.net,3891060802,"80/943, Yadav Chowk, Kolhapur 253109",TINVC18357,434564699130,Business,2211615,1100489,484.0,2.01,Renovation,Agent,Defaulted,Approved,82.214.1.140,ed72715f-bde9-4964-be80-ff621492c462,Opera,Malegaon,Bihar,22.476905,87.16338,486,8,5,68,1,1,1,10,True,True,True,0.94,0
David Arora,2003-03-04,Other,ckothari@example.com,4694739975,"608, Savant Path, Bettiah 119707",OYPWB70172,128640535327,Personal,2240557,570789,673.0,3.93,Medical,Online,On-time,Approved,213.88.2.25,335c3f4e-41a0-432a-8486-44f1481badd7,Edge,Chittoor,Goa,32.479538,79.897548,73,20,1,52,1,1,1,5,True,True,True,0.93,0
Ijaya Sarin,1999-09-25,Female,aayushbarad@example.org,9411319602,"H.No. 255, Yohannan Chowk, Bellary-001782",EEXXJ71345,521713877551,Business,1040400,1001162,544.0,1.04,Renovation,Online,On-time,Approved,49.200.194.26,6753b93b-bc39-4864-8d88-fdc73c72514b,Firefox,Bellary,Karnataka,31.114298,77.005676,505,17,3,54,1,1,1,1,True,True,True,0.68,0
Shivani Kuruvilla,1972-08-07,Male,tarakmadan@example.com,9805216926,"H.No. 941, Varma Street, Pune 809828",RUSMI69262,969763980663,Auto,1215060,1531332,480.0,0.79,Business,Online,Defaulted,Rejected,157.161.69.84,82fc8d22-9c2c-4c83-8473-2f5e11454bed,Chrome,Narasaraopet,Goa,9.604491,93.998659,329,19,2,8,1,1,1,7,True,True,True,0.96,0
Urmi Karnik,1993-09-21,Male,lila61@example.com,6517711437,"287, Sahni Nagar, Pudukkottai-343996",OFYPD39768,164974452092,Education,639552,645014,414.0,0.99,Investment,Agent,Defaulted,Approved,49.37.155.17,e73adb1d-4c9d-4d31-8516-3e353dd3dff9,Opera,Delhi,Bihar,27.262297,84.832172,545,8,3,11,1,1,1,4,True,True,True,0.84,0
Ranbir Sura,1977-05-31,Female,zinalsrinivasan@example.net,7811302727,"89/14, Nath Circle, Bhilwara-863235",HJBWL47509,225010384349,Auto,1685571,1839972,541.0,0.92,Medical,Online,On-time,Approved,46.142.26.107,97aa0009-38c4-430b-9e95-58a4f4ec364f,Firefox,Bhilai,Kerala,14.209151,75.961873,426,8,4,7,1,1,1,8,True,True,True,0.81,0
Gaurangi Subramaniam,2004-10-27,Male,fitanpatla@example.org,7816610322,"86, Narayanan, Hapur-630114",KOGOW72202,723566739312,Auto,2339020,1038733,786.0,2.25,Business,Online,Delayed,Approved,97.124.100.79,4a557598-af20-4ddd-bd48-e5d65e9101f6,Edge,Shimla,Punjab,21.781432,78.664439,323,0,5,77,1,1,1,1,True,True,True,0.94,0
Manthan Sundaram,1980-10-15,Male,satheurvashi@example.net,0963663353,"H.No. 364, Magar Chowk, Gurgaon 476177",PRZZV82641,368572710973,Home,1111087,1309154,693.0,0.85,Travel,Agent,Defaulted,Rejected,61.1.160.217,9a0a8a24-077a-4f65-a6af-7f8abc2c04cc,Chrome,Surendranagar Dudhrej,Kerala,23.51241,74.855075,461,12,0,50,1,1,1,5,True,True,True,0.72,0
Farhan Gupta,1991-07-07,Male,golesaksham@example.net,7935795749,"61, Tailor Path, Bareilly 846834",NSOOA38237,426553053285,Auto,932424,1952327,464.0,0.48,Medical,Agent,Delayed,Rejected,145.170.200.139,2c9ec905-3922-4411-82f4-dda2258a016c,Chrome,Singrauli,Nagaland,15.947059,70.322742,511,15,5,52,1,1,1,6,True,True,True,0.89,0
Bhanumati Sastry,1979-04-27,Male,teerth72@example.org,2606160778,"83, Rai Ganj, Mahbubnagar 270005",MMOQL40524,517339633470,Home,1144587,1211860,367.0,0.94,Travel,Branch,Defaulted,Rejected,140.219.141.128,dbfddceb-dd87-47b2-a7c0-8507fa36f60c,Safari,Hindupur,Himachal Pradesh,28.161093,90.097288,196,20,3,82,1,1,1,3,True,True,True,0.6,0
Yadavi Comar,2003-10-13,Female,deshmukhaadi@example.com,3566806163,"H.No. 873, Sridhar, Bhilwara 994553",AKXYQ36949,339007431938,Auto,2465119,322453,413.0,7.64,Marriage,Online,Defaulted,Approved,220.36.32.35,1911efe3-e825-4b02-b3d3-8ed82c563ba3,Opera,Kumbakonam,Tripura,27.886848,90.986627,335,14,3,94,1,1,1,3,True,True,True,0.7,0
Adweta Saha,2002-06-02,Female,zrau@example.org,3481075268,"21, Mall, Salem-023145",AHZGR68488,156856884230,Auto,883256,326997,724.0,2.7,Travel,Online,Delayed,Rejected,28.174.52.84,efaa0200-7855-42f7-b5d6-3183e1ca6a1b,Opera,Bangalore,Uttarakhand,14.510127,95.495167,579,20,4,80,1,1,1,4,True,True,True,0.96,0
Darika Mitter,1990-04-16,Male,tanmayirao@example.org,0541163757,"H.No. 90, Pillay Zila, Jaipur 996158",YWJZO63481,354226977781,Auto,757813,254402,710.0,2.98,Investment,Branch,Defaulted,Rejected,205.189.232.102,10a34c10-8aea-4933-8cc5-f5cdb1a47892,Firefox,Ballia,Meghalaya,10.582777,78.669684,588,3,0,91,1,1,1,9,True,True,True,0.77,0
Tanish Sridhar,1994-03-23,Female,tanmayi83@example.net,3154830880,"70, Kant Road, Faridabad 284083",ULLBK30531,509730209486,Education,547076,620776,508.0,0.88,Marriage,Branch,Delayed,Rejected,140.200.198.71,7f93a07b-3157-47e3-a008-6e1d104fd7d0,Safari,Hajipur,Uttar Pradesh,11.775781,92.833794,228,9,5,86,1,1,1,4,True,True,True,0.77,0
Falguni Kapadia,1995-01-23,Male,leena34@example.org,0718589175,"18, Bansal Circle, Parbhani-341422",HKFBS50308,233352255567,Personal,1267157,699033,541.0,1.81,Investment,Branch,On-time,Rejected,75.223.58.36,33804049-c6d7-45ce-b07a-5ebb71517e62,Opera,Sultan Pur Majra,Andhra Pradesh,27.843745,81.286759,18,15,1,41,1,1,1,7,True,True,True,0.87,0
Advaith Sahota,1969-10-06,Other,qdayal@example.com,3597577084,"H.No. 67, Parekh Road, Ajmer 304097",GOAWQ52998,163138772612,Education,1124688,303208,397.0,3.71,Investment,Online,On-time,Rejected,113.176.243.42,43035078-8e19-4d16-af1f-1c8df0f613a9,Firefox,Raebareli,Tamil Nadu,21.65704,78.274749,54,0,2,64,1,1,1,10,True,True,True,0.75,0
Inaya Kalita,2004-05-28,Other,xsom@example.com,3910877704,"H.No. 244, Kulkarni Chowk, Kanpur-943426",ISBBC00277,219705825128,Auto,604647,1323483,342.0,0.46,Investment,Online,Delayed,Approved,140.164.250.240,eb7bbca5-406f-472e-8343-0416f7a75acc,Opera,Muzaffarpur,Tamil Nadu,22.292355,77.836125,487,4,0,40,1,1,1,9,True,True,True,0.77,0
Wishi Mani,2004-07-23,Female,tgopal@example.net,7184498938,"795, Kothari Path, Gulbarga 628957",CEBNC71457,639775105581,Personal,586331,1196920,587.0,0.49,Business,Branch,Delayed,Rejected,205.254.199.47,66aa333e-ca0c-4157-a040-b06e7d5cc813,Edge,Siwan,Karnataka,25.775016,90.085354,278,16,2,55,1,1,1,3,True,True,True,0.73,0
Krish Mann,1981-08-29,Male,uppalayush@example.net,9390602487,"397, Saini Marg, Vasai-Virar-867132",HRQOF09506,522925900205,Business,1895450,261615,493.0,7.25,Marriage,Online,On-time,Approved,81.81.167.162,48e523ce-0a5c-466e-927d-865ee53d34c5,Chrome,Kozhikode,Nagaland,21.637178,72.743094,486,13,0,63,1,1,1,1,True,True,True,0.78,0
Sarthak Sandal,1970-06-07,Other,rajanvihaan@example.com,2454554458,"H.No. 26, Iyengar Zila, Bhubaneswar-654771",RJIHC13465,237912120048,Education,1969983,1183871,415.0,1.66,Business,Online,On-time,Rejected,213.83.143.6,50a74883-e562-4880-aefa-307ee8d08c3f,Chrome,Tadipatri,Manipur,13.908278,76.239377,180,23,4,34,1,1,1,10,True,True,True,0.96,0
Sudiksha Ray,2000-07-21,Other,mugdha38@example.com,4461116956,"H.No. 448, Banerjee Chowk, Kakinada-774962",QQOQO87253,803136857636,Personal,2256268,1758196,484.0,1.28,Medical,Online,On-time,Rejected,125.14.239.47,319ccd7f-1465-4871-b3d5-e73407510a1c,Chrome,Aligarh,Telangana,33.733663,68.752903,132,12,2,75,1,1,1,2,True,True,True,0.93,0
Rushil Buch,1960-06-04,Male,majumdarekalinga@example.org,1515579578,"522, Srinivasan Chowk, Jodhpur-331299",ICIUB09204,462317975970,Education,2062658,1102223,575.0,1.87,Investment,Agent,On-time,Rejected,65.150.119.205,19ce8a56-60df-497e-a5e9-724d55964423,Chrome,Kanpur,Rajasthan,27.02901,95.575983,340,23,5,72,1,1,1,3,True,True,True,0.68,0
Ekanta Magar,2000-10-04,Other,yashmadan@example.com,6512889353,"H.No. 87, Loke Street, Suryapet 635941",QXTNZ86980,319679718979,Auto,1405476,1823835,,0.77,Investment,Agent,Delayed,Approved,161.197.232.132,e109963b-9825-4b54-a624-91c378440f2d,Safari,Ambarnath,Madhya Pradesh,15.399753,74.962324,30,2,0,26,1,4,4,5,True,True,False,0.28,1
Abhimanyu Barad,2003-04-26,Other,krishna96@example.net,1274255643,"26/86, Hegde Circle, Hospet 411709",YOSEK52060,554850945992,Auto,600656,902970,398.0,0.67,Travel,Agent,On-time,Rejected,110.141.232.242,a6af43e2-23a6-4ee6-965f-be6919e7b0af,Safari,Ranchi,Chhattisgarh,33.676978,81.816751,584,19,3,11,1,1,1,7,True,True,True,0.92,0
Ikshita Brahmbhatt,1961-05-24,Female,max36@example.net,2450839321,"15/444, Palla Zila, Mahbubnagar 161764",LQZHZ08498,625573470374,Education,439849,234804,825.0,1.87,Travel,Branch,Defaulted,Approved,188.204.199.9,4aff57dd-890c-43b2-9d6c-acc05a411ee8,Firefox,Moradabad,Odisha,34.989361,83.291083,545,2,2,59,1,1,1,7,True,True,True,0.63,0
Abdul Goyal,2001-03-19,Female,barkha78@example.net,0609825115,"H.No. 83, Bala Chowk, Ballia-693231",AFKEE87362,307697793211,Home,585989,1585110,607.0,0.37,Marriage,Agent,Delayed,Rejected,162.130.0.131,a8350152-5653-44a2-8058-8da27724097f,Opera,Ludhiana,Arunachal Pradesh,9.38412,70.219443,54,16,0,65,1,1,1,7,True,True,True,0.77,0
Guneet Bassi,1976-05-24,Other,advaysachar@example.com,3994751285,"H.No. 25, Aggarwal Zila, Noida-789786",GCVLI86172,578565229556,Business,1112754,895448,560.0,1.24,Investment,Online,Defaulted,Approved,162.247.90.67,034f32c0-3f96-4ac7-b220-16e39ad30b76,Chrome,Begusarai,Jharkhand,29.474969,81.423489,194,12,0,10,1,1,1,7,True,True,True,0.95,0
Tanveer Krishnamurthy,2000-09-23,Other,choudhryekalinga@example.org,0955257578,"H.No. 370, Goel Street, Dhule-684490",BZGCK21627,184982317685,Education,1937218,1458225,571.0,1.33,Travel,Online,On-time,Approved,145.72.182.89,434138c5-2ea9-4486-a95c-f62dfbd82b1d,Chrome,Kadapa,Uttarakhand,29.66385,85.517533,116,13,4,2,1,1,1,1,True,True,True,0.76,0
Bishakha Munshi,1963-09-01,Other,suravidhi@example.com,5491341987,"415, Vala Circle, Ghaziabad-076711",MZWTU04491,504042604125,Education,1980063,1600822,403.0,1.24,Travel,Agent,Defaulted,Rejected,163.215.11.156,e9f68666-0663-4c99-b0ba-da7ee72e31d4,Safari,Nangloi Jat,Mizoram,31.334581,70.541419,13,0,1,14,1,2,1,4,False,False,False,0.61,1
Gunbir More,1971-06-22,Other,xsekhon@example.org,1814905877,"61/281, Sahni Circle, Bhilwara-647710",YSSZM38601,100838436844,Home,411102,781070,774.0,0.53,Marriage,Branch,Delayed,Approved,201.42.246.118,bfb89023-4fe1-494b-9cac-07aa379948be,Chrome,Hospet,Himachal Pradesh,12.817059,72.420245,463,15,3,2,1,1,1,8,True,True,True,0.83,0
Vrishti Sampath,2003-12-28,Other,anushagopal@example.com,1539818188,"H.No. 63, Virk Zila, Kozhikode-270785",UBHBO03859,566042425656,Education,263583,850134,308.0,0.31,Renovation,Agent,Defaulted,Rejected,130.74.104.192,10de9a91-3d5a-4103-ab71-3db83a427601,Safari,Coimbatore,Meghalaya,32.609872,89.375271,575,9,0,62,1,1,1,7,True,True,True,0.79,0
Jeevika Tailor,1993-01-22,Other,maxsethi@example.com,4563581822,"81/437, Mangal Path, Amroha 775168",LNPJR85649,244948651373,Education,1022683,1647975,362.0,0.62,Investment,Online,Delayed,Rejected,17.118.53.39,23903663-b324-4205-8647-bd0c028c840f,Opera,Bikaner,Odisha,9.841806,93.893439,435,15,0,63,1,1,1,10,True,True,True,0.98,0
Isaac Bhardwaj,1999-07-28,Other,suhani95@example.net,9033723179,"H.No. 877, Barad Circle, Bokaro-383130",RUXAY10490,316106410827,Education,137270,488340,594.0,0.28,Business,Online,Delayed,Rejected,80.201.56.61,88328521-c691-4cab-8b36-6f8047a8896b,Safari,Chandrapur,Tripura,14.73099,74.371368,355,19,5,84,1,1,1,8,True,True,True,0.65,0
Krisha Aurora,1996-06-28,Other,zachariayahvi@example.com,3876086253,"H.No. 84, Pant Zila, Durg 399940",OFMLM86063,883841556663,Education,1798442,1897096,668.0,0.95,Medical,Online,Defaulted,Approved,83.195.19.173,71887019-cb06-44f0-8856-b6eaf1f07ad8,Edge,Tiruchirappalli,Rajasthan,28.030229,70.499565,502,4,1,25,1,1,1,3,True,True,True,0.84,0
Caleb Ben,1994-06-01,Female,nattaayush@example.org,6292998658,"50, Wali Zila, Bhilwara-660035",XTWNY90331,566771823723,Education,1323608,642241,514.0,2.06,Investment,Online,On-time,Rejected,12.72.123.37,7975c860-06f6-4755-b7a0-65705ef8c846,Edge,Parbhani,Uttarakhand,18.354272,72.599558,523,1,0,43,1,1,1,7,True,True,True,0.65,0
Niharika Lala,2005-06-07,Other,indali26@example.org,9933791680,"93, Sathe Road, Phagwara-244809",SRXUI42484,348481685774,Home,2089963,690692,648.0,3.03,Travel,Online,Defaulted,Rejected,193.206.248.118,d2370c7b-de2d-4358-8a6b-0e45e37c697d,Firefox,Bhubaneswar,Nagaland,32.748836,93.337175,114,22,0,56,1,1,1,8,True,True,True,0.99,0
Anvi Desai,2004-10-01,Male,gavin54@example.org,8336748840,"831, Merchant Road, Danapur 161564",EDCFW10828,710447061627,Business,477265,1877235,342.0,0.25,Investment,Online,On-time,Approved,139.41.205.67,1b7af826-9904-4fca-96d2-465fe8a45a00,Firefox,Tiruvottiyur,Mizoram,34.418587,72.553944,307,22,3,97,1,1,1,9,True,True,True,0.8,0
Krish Raja,1976-02-22,Male,nidra08@example.org,5328829989,"H.No. 780, Dyal Nagar, Muzaffarpur-304270",NTDBI25756,394197888112,Auto,1453445,1867904,441.0,0.78,Renovation,Online,Delayed,Rejected,177.114.168.145,f7ae350c-41b1-41d3-adb8-b79fb6ab72df,Chrome,Bangalore,Uttar Pradesh,15.114166,91.465211,357,9,4,21,1,1,1,2,True,True,True,0.71,0
Gabriel Dada,1964-01-13,Female,liam83@example.org,3966542270,"543, Wagle Chowk, Jehanabad 373612",MFDMB57837,800781520724,Auto,1079497,467951,842.0,2.31,Medical,Online,On-time,Rejected,85.105.215.114,9fff8ca3-a21c-435a-b6a5-c3e3cfdd182b,Safari,Moradabad,Tamil Nadu,34.622582,94.043892,536,21,2,3,1,1,1,8,True,True,True,0.66,0
Jatin Zacharia,1969-09-20,Other,subramanianupma@example.org,4773609955,"60/561, Dash Ganj, Kottayam 479521",OUQVD49824,787601280962,Personal,405585,859474,380.0,0.47,Marriage,Branch,On-time,Rejected,192.6.156.55,c2d771b2-29aa-4f72-be1b-218c41a51b26,Chrome,Gudivada,Tripura,27.145109,86.602507,41,1,5,91,3,3,4,7,True,True,True,0.53,1
Keya Saini,1991-04-09,Female,mahajanfaqid@example.com,2210106470,"51/305, Ramesh Chowk, Gwalior 630424",XAELG92755,203840887365,Personal,1223485,1256859,450.0,0.97,Business,Branch,Delayed,Approved,129.30.199.233,0ca8ccc4-d998-4f5f-9d2d-c9a65c26a8cb,Opera,Jamshedpur,Himachal Pradesh,26.106431,85.927436,460,22,2,100,1,1,1,7,True,True,True,0.91,0
Wakeeta Bhatt,2003-03-09,Male,turvi40@example.com,7699519961,"H.No. 90, Shukla Road, Ramagundam 232916",BRGMK88677,188365913922,Personal,2304159,851482,699.0,2.71,Business,Agent,Defaulted,Approved,217.14.147.20,ef88e88b-5b82-4cd6-bdbe-c1dd2bf7a82e,Opera,Hapur,Uttarakhand,36.765795,76.233908,103,16,4,39,1,1,1,9,True,True,True,0.74,0
Vyanjana Kulkarni,1966-04-22,Male,gadenetra@example.com,5933332831,"26/80, Lala Marg, Dehri-938940",UAPSO52346,435502721839,Personal,2314641,1392570,564.0,1.66,Marriage,Branch,Defaulted,Rejected,37.229.227.104,d0442625-2c1f-4bf3-b1b4-142d45647d4f,Opera,Cuttack,Madhya Pradesh,11.202815,69.738426,389,8,5,64,1,1,1,6,True,True,True,0.65,0
Vedhika Jani,1977-07-20,Male,dhritibhat@example.org,2113349542,"99, Rai Road, Varanasi-849503",UTLKE72502,372874366940,Education,1299739,1350483,305.0,0.96,Medical,Branch,On-time,Approved,204.45.131.88,fc7c4d46-1b09-4aa4-9044-cfadc1abcf1f,Edge,Kurnool,Tamil Nadu,16.676847,87.340749,594,21,1,91,1,1,1,7,True,True,True,0.81,0
Gaurangi Issac,1969-12-31,Female,ladrachit@example.net,8351614480,"793, Andra Zila, Loni 640287",BKMNF18730,143169523772,Business,2492632,553817,669.0,4.5,Medical,Online,On-time,Rejected,216.51.216.250,3c894a3b-3763-488e-8ca4-24a654ee9886,Safari,Chapra,Uttarakhand,10.376468,69.803617,141,15,1,57,1,1,1,2,True,True,True,0.75,0
Tanvi Seth,1975-10-04,Other,ronith90@example.net,0712052047,"22, Malhotra Nagar, Ambarnath 365888",UDEFA58075,254090027661,Business,2226613,1783313,704.0,1.25,Travel,Agent,Delayed,Rejected,221.190.90.131,1d38db8e-7fa9-41b2-84dd-8b9a65ddf005,Safari,Gandhidham,Tripura,27.981518,95.486781,434,5,1,64,1,1,1,3,True,True,True,0.79,0
Indali Deshpande,1980-01-30,Other,widishashere@example.net,8828331823,"59/892, Ganesh Street, Srikakulam 086175",CATVJ96898,186937286085,Business,2269378,397585,517.0,5.71,Medical,Branch,On-time,Approved,214.158.48.91,d0c1811c-9abc-4fbd-8392-62f5aaf47539,Opera,Kadapa,Sikkim,18.71063,95.602831,426,3,0,47,1,1,1,10,True,True,True,0.72,0
Eiravati Kakar,1990-09-12,Male,chakradhardeshmukh@example.com,4919200031,"12/327, Gade Marg, Chapra-581011",TOLAB02208,759311314687,Auto,1328946,935299,610.0,1.42,Travel,Branch,On-time,Approved,6.215.141.9,58450578-8e01-46d2-ab6c-9f2a809bc6e9,Firefox,Bongaigaon,Jharkhand,30.729983,80.230952,320,9,1,23,1,1,1,8,True,True,True,0.6,0
Ubika Aggarwal,1980-01-14,Male,chakrika74@example.net,6405970046,"450, Nanda Zila, Jorhat-599530",DFLEV12530,924053301538,Personal,1801437,1159100,617.0,1.55,Investment,Branch,Delayed,Rejected,30.139.100.48,6b92d3d0-1a35-4c50-a396-ff9f462073f8,Safari,Moradabad,Arunachal Pradesh,32.19934,92.17682,143,4,4,81,1,1,1,8,True,True,True,0.9,0
Vedant Bir,1967-02-24,Male,nikita67@example.net,0551671139,"55, Babu Nagar, Bulandshahr-632272",XGXRG00088,150805124624,Auto,424614,1827326,719.0,0.23,Medical,Online,Delayed,Rejected,112.178.85.249,1c2a2758-fe92-4107-8c9e-efacb57243ae,Opera,Jaunpur,Punjab,9.328772,87.442871,461,23,2,82,1,1,1,2,True,True,True,0.95,0
Zansi Sura,1970-09-19,Other,jacob07@example.org,9228683765,"03/26, Madan Chowk, Morbi 657884",EIMIT64476,363578114482,Auto,2403190,1502997,426.0,1.6,Business,Agent,On-time,Approved,192.148.102.235,48428e32-4f85-415b-b411-a36e56a87a53,Opera,Secunderabad,West Bengal,23.713196,89.97084,591,16,1,96,1,1,1,8,True,True,True,0.8,0
Ekaraj Samra,1973-05-28,Other,xvarghese@example.org,6407244157,"H.No. 271, Kuruvilla, Gurgaon 210700",IEWYU41725,354049495693,Business,803898,189790,,4.24,Marriage,Agent,Defaulted,Rejected,207.178.97.146,e605acb2-a4e1-4098-aba0-96d869efe433,Chrome,Katni,Assam,31.40071,85.59879,30,18,0,62,1,3,4,3,False,True,True,0.25,1
Aarnav Bhatti,1996-04-10,Male,bpanchal@example.org,7858764165,"89/314, Goswami Street, Ambarnath-748196",ZVYTG05330,127221487571,Business,755297,748425,447.0,1.01,Marriage,Branch,On-time,Approved,175.32.56.100,43b6159c-a594-4fa6-99cd-013ddc3adfaf,Edge,Shahjahanpur,Punjab,35.612777,87.679648,68,19,2,23,1,1,1,1,True,True,True,0.89,0
Karan Rastogi,1962-08-27,Male,vinayaahuja@example.org,3359378357,"44, Dhawan Road, Tenali-122194",SOPGP04362,284743813789,Auto,647522,1015752,631.0,0.64,Travel,Branch,On-time,Approved,106.85.197.144,4006bc8a-c850-46d8-89d8-cc2ce7f59ff6,Firefox,Jalna,Goa,14.949066,85.313134,250,15,4,96,1,1,1,9,True,True,True,0.75,0
